Tag Name,Description,Area,Loop Type,Unit,Range Low,Range High,Typical SP,Alarm HH,Alarm H,Alarm L,Alarm LL,Control Mode,Controller Output,SP Source,Cascade Master,Fail Position,Interlocks,Summary,On Hold,Page
1500-F-4010,MAIN COMPRESSOR AREA (AT GRADE) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,30
1500-F-4012,SULFUR FURNACE (AT GRADE) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,31
1500-F-4014,DEAREATOR (AT GRADE) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,32
1500-F-4016,COOLING TOWER (AT CHEMICAL DOSING) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,33
1500-F-4026,ACID STORAGE (AT PUMPS) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,34
1500-F-4028,ACID STORAGE (AT RECIRC. PUMPS) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,35
1500-F-4030,ACID LOADING (AT PLATFORM) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,36
1500-F-4032,ACID LOADING (AT GRADE) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,37
1500-F-4200,EFFLUENT NEUTRALIZATION SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,38
1500-F-4202,COMBINATION PUMP TANK (ON PLATFORM) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,39
1500-F-4204,ACID COOLER (AT GRADE) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,40
1500-F-4206,DRYING TOWER (AT GRADE) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,41
1500-F-4208,FINAL TOWER (AT TUBESHEET) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,42
1500-F-4210,DRYING TOWER (TUBESHEET) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,43
1500-F-4212,FINAL TOWER (AT PLATFORM) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,44
1500-F-4214,FINAL TOWER (AT PLATFORM) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,45
1500-F-4215,INTERPASS TOWER (DISTRIBUTOR) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,46
1500-F-4216,INTERPASS TOWER (AT GRADE) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,47
1500-F-4220,INTERPASS TOWER (DISTRIBUTOR) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,48
1500-F-4217,DRYING TOWER (AT PLATFORM) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,49
1500-F-4224,INTERPASS TOWER (AT TUBESHEET) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,50
1500-F-4230,PUMP TANK/STRONG ACID COOLER AREA (AT GRADE) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,51
1500-F-4232,INSIDE LAB SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,52
1500-F-4234,TAIL GAS SCRUBBER (AT GRADE) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,53
1500-F-4238,SULFUR VAPOR SCRUBBER (AT PUMPS) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,54
1500-F-4237,SULFUR UNLOADING (NEAR TRUCKS) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,55
1500-F-4236,CAUSTIC STORAGE (AT TRUCKS) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,56
1500-F-4235,CAUSTIC STORAGE (AT PUMPS) SAFETY SHOWER,Safety Shower,Digital Input,-,0,1,-,-,-,-,-,None,None,None,None,None,N/A,-,-,57
1500-F-9802,PROPANE TO STARTUP BURNER,Startup Burner,Flow,lb/h,0,7800,-,-,-,-,-,Indication,None,None,None,None,N/A,-,-,58
1500-F-9805,PROPANE TO AUX BOILER,Aux Boiler,Flow,lb/h,0,3000,-,-,-,-,-,Indication,None,None,None,None,N/A,-,-,59
1510-H-1003A,SULFUR UNLOADING PUMP,Sulfur Handling,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-1003A,Operator,None,-,"I-101, I-103",-,-,60
1510-H-1003B,SULFUR UNLOADING PUMP (STANDBY),Sulfur Handling,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-1003B,Operator,None,-,"I-101, I-103",-,-,61
1510-H-1004A,SULFUR FEED PUMP,Sulfur Handling,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-1004A,Operator,None,-,"I-7, I-80, I-81, I-164",-,-,62
1510-H-1004B,SULFUR FEED PUMP (STANDBY),Sulfur Handling,Pump Control,-,0,1,-,-,-,-,-,Auto/Man,HS-1004B,Operator,None,-,"I-7, I-80, I-81, I-164",-,-,63
1510-A-1021,SULFUR UNLOADING PIT SO2 MONITOR,Sulfur Handling,Analysis,ppm,0,200,-,-,100,-,-,Indication,None,None,None,None,N/A,-,-,64
1510-T-1020,SULFUR PIT VENT TO VAPOR SCRUBBER TEMPERATURE,Sulfur Handling,Temperature,°F,0,500,-,-,320,-,-,Indication,None,None,None,None,N/A,-,-,65
1510-T-1008,SULFUR UNLOADING PIT TEMPERATURE,Sulfur Handling,Temperature,°F,0,500,-,-,300,260,-,Indication,None,None,None,None,N/A,-,-,66
1510-L-1007,SULFUR UNLOADING PIT LEVEL,Sulfur Handling,Level,%,0,100,-,TBD,TBD,TBD,TBD,Indication,LCV-1007,Operator,None,Fail Close,"I-100, I-101, I-103",-,-,67
1510-A-1019,SULFUR UNLOADING PIT H2S AREA MONITOR,Sulfur Handling,Analysis,ppm,0,100,-,50,20,-,-,Indication,None,None,None,None,N/A,-,-,69
1510-A-1012,SULFUR UNLOADING PIT H2S AREA MONITOR,Sulfur Handling,Analysis,ppm,0,100,-,50,20,-,-,Indication,None,None,None,None,N/A,-,-,70
1510-P-1013,STRAINER DIFFERENTIAL PRESS ON SULFUR FEED PUMPS LINE,Sulfur Handling,Pressure,psig,0,540,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,71
1510-X-1118A,SULFUR UNLOADING AREA HIGH LEVEL ALARM,Sulfur Handling,Digital Output,-,0,1,-,-,-,-,-,Alarm,XA-1118A,None,None,None,I-100,-,-,72
1510-X-1100,SULFUR UNLOADING TRUCK GROUND SWITCH,Sulfur Handling,Digital Input,-,0,1,-,-,-,-,-,Indication,None,None,None,None,N/A,-,-,73
1510-X-1101,SULFUR UNLOADING TRUCK GROUND SWITCH,Sulfur Handling,Digital Input,-,0,1,-,-,-,-,-,Indication,None,None,None,None,N/A,-,-,74
1510-L-1201,LIQUID SULFUR STORAGE TANK LEVEL,Sulfur Handling,Level,%,0,100,-,TBD,80,20,-,Indication,None,None,None,None,I-101,-,-,75
1510-L-1202,LIQUID SULFUR STORAGE TANK LEVEL,Sulfur Handling,Level,%,0,100,-,TBD,80,20,-,Indication,None,None,None,None,I-101,-,-,76
1510-T-1205,SULFUR STORAGE TANK VENT TEMPERATURE,Sulfur Handling,Temperature,°F,0,500,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,77
1510-A-1206,LIQUID SULFUR STORAGE TANK SO2,Sulfur Handling,Analysis,ppm,0,200,-,-,100,-,-,Indication,None,None,None,None,N/A,-,-,78
1510-A-1502,SULFUR VAPOR SCRUBBER INLET,Sulfur Handling,Analysis,ppm,0,200,-,-,100,-,-,Indication,None,None,None,None,N/A,-,-,79
1510-T-1501,SCRUBBER INLET TEMPERATURE,Sulfur Handling,Temperature,°F,0,500,-,-,TBD,-,-,Indication,None,None,None,None,N/A,-,-,80
1510-L-1524,SULFUR VAPOR SCRUBBER LEVEL,Sulfur Handling,Level,%,0,100,TBD,90,80,20,10,Auto/Man,LCV-1524,Operator,None,-,"I-140, I-141, I-142",-,-,81
